Created At,Tweet Id,Tweet,Length,Prediction
2020-10-19 23:59:45,1318341096565575680,@JoeBiden was corrupt in office. Seems he got a take from Hunter's deals. Many of @TheDemocrats enrich themselves t… https://t.co/ubxAwFVb0p,140,Trump
2020-10-19 23:59:31,1318341035907493893,"RT @CivicYouth: NEW DATA: In more than a dozen key states, including key Presidential and Senate battlegrounds where youth could have a dec…",140,Biden
2020-10-19 23:59:21,1318340995218612224,RT @AJEnglish: President Trump tells Georgia rally he “will leave the country” if he doesn’t win #2020Election because he “won’t feel so go…,140,Trump
2020-10-19 23:59:07,1318340936154468355,Please vote early. #2020Election #BlueWave2020 #EarlyVoting,59,Biden
2020-10-19 23:58:55,1318340886657380357,#2020Election https://t.co/1VVigYokGk,37,Biden
2020-10-19 23:58:22,1318340748727656448,Is it a coincidence that the #HunterBiden emails got released right before the  #2020Election ? Like when the email… https://t.co/IHL0dQhZAS,140,Biden
2020-10-19 23:58:09,1318340694000402442,"#Games 
#GrandKabukeTheater 
#Manipulation 

Forcing ""a vote to adjourn"" the Senate
 
is NOT the same as 

forcing… https://t.co/pf9YjAu0bZ",139,Biden
2020-10-19 23:58:02,1318340664371924992,RT @norah_s: Thanks to @GovMurphy for making this #2020Election cycle so easy for us in #njdistrict10 #VoteEarly https://t.co/9blWCdDN6O,136,Biden
2020-10-19 23:57:57,1318340643614195712,#50cent endorses Trump and the internet blows up. Tell me. Would you be this mad if he was white? I certainly didn'… https://t.co/4CanPscE3p,140,Trump
2020-10-19 23:57:54,1318340630750191616,RT @drboycewatkins1: The only guarantee in the #2020election:  There WILL DEFINITELY be a racist in the White House.,116,Biden
2020-10-19 23:57:32,1318340535912976389,#BidenWillCrushCovid #2020Election #AmericaOrTrump #BidensUnitingUS #BlueWaveTheGOP #BidenCoalition https://t.co/N22LUXI50B,123,Biden
2020-10-19 23:57:13,1318340458691633152,@spectatorindex #DonaldTrump will not attend but even #FoxNews us ditching #TheDonald @CNN @MSNBC #2020Election TRU… https://t.co/mUp9UEt710,140,Trump
2020-10-19 23:56:44,1318340338541645824,"RT @RobertCahaly: Our new @trafalgar_group #2020Election #USSen #MIpoll conducted Oct 11-15 shows James’ expanding lead: 
48.0% @JohnJamesM…",140,Biden
2020-10-19 23:56:32,1318340284514709504,@donwinslow #vote #VoteEarly #VoteBlue #RidTheTurdNovember3rd #2020Election #BidenHarris2020,92,Biden
